,latitude,longitude,geoname_id,location_type_name,location_type_code,location_details
1257,-15.4,28.46667,910582,locality,LCTY,Lusaka
1258,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Conakry, Ghana"
1259,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Ignace Deen National Hospital, Conakry, Guinea"
1260,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"School of Public Administration, Labour and Civil Service Ministry, Conakry, Guinea"
1261,,,2420477,independent political entity,PCLI,
1262,,,2420477,independent political entity,PCLI,
1263,9.53795,-13.67729,2422465,capital of a political entity,PPLC,
1264,,,2420477,independent political entity,PCLI,
1265,,,2420477,independent political entity,PCLI,
1266,,,2420477,independent political entity,PCLI,
1267,9.6,-13.65,2419495,populated place,PPL,"Kipe, Conakry, Guinea"
1268,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Kipe, Conakry, Guinea"
1269,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Conakry, Guinea"
1270,9.61667,-13.63333,2417027,populated place,PPL,"Nongo, Conakry, Guinea"
1271,9.53795,-13.67729,2422465,capital of a political entity,PPLC,"Nongo, Conakry, Guinea"
1272,9.53795,-13.67729,2422465,capital of a political entity,PPLC,
1273,13.51366,2.1098,2440485,capital of a political entity,PPLC,
1274,,,2440476,independent political entity,PCLI,
1275,15.0,10.5,2437797,first-order administrative division,ADM1,"Difa, Maradi, Tillaberi, and Zinder"
1276,14.25,7.25,2441289,first-order administrative division,ADM1,"Difa, Maradi, Tillaberi, and Zinder"
1277,16.0,13.5,2445702,first-order administrative division,ADM1,"Difa, Maradi, Tillaberi, and Zinder"
1278,14.33333,2.08333,2595293,first-order administrative division,ADM1,"Difa, Maradi, Tillaberi, and Zinder"
1279,,,2440476,independent political entity,PCLI,"Difa, Maradi, Tillaberi, and Zinder"
1280,11.5,24.66667,408660,first-order administrative division,ADM1,Darfur
1281,13.41667,22.66667,408658,first-order administrative division,ADM1,Darfur
1282,16.0,25.5,408666,first-order administrative division,ADM1,Darfur
1283,11.16667,26.5,8394435,first-order administrative division,ADM1,Darfur
1284,12.38333,23.3,8394436,first-order administrative division,ADM1,Darfur
1285,13.0,25.0,376731,administrative division,ADMD,Darfur
1286,11.5,24.66667,408660,first-order administrative division,ADM1,Darfur
1287,13.41667,22.66667,408658,first-order administrative division,ADM1,Darfur
1288,16.0,25.5,408666,first-order administrative division,ADM1,Darfur
1289,11.16667,26.5,8394435,first-order administrative division,ADM1,Darfur
1290,12.38333,23.3,8394436,first-order administrative division,ADM1,Darfur
1291,13.0,25.0,376731,administrative division,ADMD,Darfur
1292,13.0,25.0,376731,administrative division,ADMD,Darfur
1293,11.5,24.66667,408660,first-order administrative division,ADM1,South Darfur State
1294,,,366755,independent political entity,PCLI,
1295,,,7909807,independent political entity,PCLI,
1296,11.15,34.1,408654,first-order administrative division,ADM1,Blue Nile State
1297,,,366755,independent political entity,PCLI,
1298,,,2378080,independent political entity,PCLI,
1299,,,7909807,independent political entity,PCLI,
1300,,,366755,independent political entity,PCLI,
1301,11.5,24.66667,408660,first-order administrative division,ADM1,Darfur
1302,13.41667,22.66667,408658,first-order administrative division,ADM1,Darfur
1303,16.0,25.5,408666,first-order administrative division,ADM1,Darfur
1304,13.0,25.0,376731,administrative division,ADMD,Darfur
1305,,,366755,independent political entity,PCLI,
1306,,,366755,independent political entity,PCLI,
1307,9.23333,29.83333,377472,seat of a first-order administrative division,PPLA,Bentiu town
1308,,,7909807,independent political entity,PCLI,
1309,,,2464461,independent political entity,PCLI,Djerba
1310,0.06444,32.44694,233508,populated place,PPL,
1311,,,226074,independent political entity,PCLI,
1312,,,226074,independent political entity,PCLI,
1313,,,226074,independent political entity,PCLI,
1314,,,226074,independent political entity,PCLI,
1315,0.31628,32.58219,232422,capital of a political entity,PPLC,"Plot 2 Apollo Kaggwa Road, Kampala, Uganda"
1316,0.32367,32.57883,8468702,section of populated place,PPLX,"Plot 2 Apollo Kaggwa Road, Kampala, Uganda"
